,Patient,Direction,Magnitude,Cz_1,Cz_2,Cz_3,Cz_4,Agonist_1,Agonist_2,Agonist_3,Agonist_4,Agonist_5,Agonist_6,Agonist_7,Agonist_8
0,HOA02,90,5,8.868028199,0.004678834,7.25e-10,0.120725838,8.705701119,0.003415522,0.004435072,0.113815915,3.777186788,1.02e-06,1.19e-06,0.234191366
1,HOA02,90,7.5,5.472524758,0.005359645,3.07e-08,0.117503862,5.334891079,0.007539081,0.02469888,0.100646749,2.794686495,1.02e-06,0.003103875,0.222347363
2,HOA02,90,10,3.572469406,0.000805934,0.004902102,0.110458036,3.284545372,0.012409481,0.023341903,0.103776144,1.132741272,5.01e-07,0.003885337,0.229708097
3,HOA02,270,5,5.825120636,0.008001813,8.1e-08,0.12515145,4.594461287,0.003329921,2.11e-08,0.249999981,4.594461288,1.72e-09,1.12e-08,0.299999961
4,HOA02,270,7.5,4.953458707,0.002775221,2.43e-08,0.113534657,4.585228134,0.021260667,9.85e-07,0.114514271,2.517050763,9.93e-07,9.87e-07,0.226150513
5,HOA02,270,10,2.913829268,0.003259367,0.01164612,0.114667838,3.441445802,0.02203343,0.00272317,0.110428452,0.987632708,9.99e-07,1e-06,0.235391598
6,HOA03,90,5,7.674765163,0.011848407,2.88e-09,0.118749375,7.344953767,0.028305376,0.041235762,0.123702659,3.2830634,7.02e-12,0.02098677,0.198227802
7,HOA03,90,7.5,4.467669427,0.005850949,1.64e-09,0.120476743,4.767043481,0.024191093,0.01729828,0.114558879,2.344917113,3.09e-11,0.019307598,0.19624771
8,HOA03,90,10,4.418512204,0.002350098,3.57e-09,0.108584681,4.25568692,0.009558495,0.059999998,0.10961601,2.742300371,6.53e-11,0.01985155,0.19358615
9,HOA03,270,5,8.035900813,0.015152397,2.9e-09,0.124273018,4.654557721,0.024540069,1.04e-06,0.121652946,2.17525955,6.14e-10,0.002815847,0.187251468
